1500
DONNA, A10 (Silver, 8TB), -2, Mauritania, 65230358
LINDA, FLOW (Silver, 6TB), -1, Norway, 72439470
BRENDA, X100L (Black, 12TB), 4, Ethiopia, 1967385398
LISA, Cast-Fi 7 (Black, 2TB), 4, Norway, 2336907
LISA, Cast-Fi 7 (Silver, 6TB), -2, Malaysia, 2336907
SANDRA, Cast-Fi 7 (Black, 12TB), 1, Hong Kong, 1856327245
DEBORAH, W20 (Silver, 2TB), 2, Guinea Bissau, 2035460949
SUSAN, W20 (Silver, 4TB), -3, Tonga, 79266334
DOROTHY, Cast-Fi 7 (Black, 12TB), -3, Ghana, 1734390947
SHIRLEY, A10 (Black, 6TB), -1, Guatemala, 2779595522
PATRICIA, N10 (Black, 12TB), 1, Tonga, 2026889313
BRENDA, N10 (Silver, 6TB), 1, India, 1967385398
SUSAN, A10 (Silver, 4TB), -3, Hong Kong, 79266334
KIMBERLY, N100H (Black, 8TB), 0, Macau, 197582061
SUSAN, N10 (Black, 6TB), 1, Albania, 79266334
KAREN, N100H (Black, 4TB), 1, Germany, 71281509
ANGELA, Cast-Fi 7 (Black, 2TB), -2, Thailand, 1935113344
AMY, N100H (Silver, 8TB), 1, Turks &amp; Caicos, 64941
KIMBERLY, N100H (Black, 8TB), 1, Ireland, 197582061
KIMBERLY, W20 (Silver, 6TB), 4, Russia, 197582061
DEBORAH, Cast-Fi 7 (Silver, 2TB), 3, Niger, 2035460949
LAURA, Cast-Fi 7 (Black, 6TB), 0, Bahamas, 72208303
CYNTHIA, A10 (Black, 6TB), 0, Taiwan, 2339159772
CYNTHIA, Cast-Fi 7 (Black, 2TB), 3, French West Indies, 2339159772
AMY, N100H (Black, 4TB), 2, Uzbekistan, 64941
DONNA, Cast-Fi 7 (Silver, 6TB), 0, Gibraltar, 65230358
CYNTHIA, W20 (Silver, 6TB), -2, Cape Verde, 2339159772
PATRICIA, X100L (Black, 6TB), 2, Portugal, 2026889313
ANGELA, A10 (Silver, 12TB), 4, Kenya, 1935113344
CAROL, N100H (Silver, 6TB), 1, Chile, 63893649
SHIRLEY, Cast-Fi 7 (Black, 2TB), 0, Finland, 2779595522
SHIRLEY, Cast-Fi 7 (Black, 2TB), -1, Colombia, 2779595522
BRENDA, N100H (Silver, 6TB), -3, Malaysia, 1967385398
AMY, N10 (Black, 4TB), 1, South Korea, 64941
KIMBERLY, A10 (Black, 6TB), 1, Ireland, 197582061
BARBARA, W20 (Black, 4TB), 1, Gabon, 3910611679
MARIA, N10 (Black, 8TB), 0, Netherlands, 73128662
DONNA, N10 (Black, 8TB), -3, Djibouti, 65230358
SARAH, A10 (Black, 12TB), 4, South Korea, 78669547
RY, FLOW (Silver, 8TB), -3, Kenya, 2631
MELISSA, W20 (Silver, 6TB), -1, Kazakhstan, 1666162860
NANCY, A10 (Silver, 8TB), -2, Netherlands, 74048177
KAREN, A10 (Silver, 6TB), -1, Cook Islands, 71281509
SHIRLEY, Cast-Fi 7 (Black, 4TB), 3, Seychelles, 2779595522
SUSAN, FLOW (Silver, 2TB), -1, Japan, 79266334
CYNTHIA, A10 (Silver, 4TB), -1, Netherlands, 2339159772
SANDRA, N100H (Silver, 6TB), 2, Isle of Man, 1856327245
LISA, W20 (Black, 4TB), -2, Kyrgyz Republic, 2336907
LINDA, Cast-Fi 7 (Silver, 8TB), 0, Syria, 72439470
ELIZABETH, W20 (Black, 8TB), 2, Switzerland, 2143727456
SUSAN, W20 (Black, 2TB), 4, St. Lucia, 79266334
RY, FLOW (Silver, 2TB), 0, Turkey, 2631
PATRICIA, A10 (Black, 2TB), 1, Belgium, 2026889313
SHARON, A10 (Black, 4TB), 3, Bulgaria, 1850236507
DONNA, N10 (Silver, 6TB), -1, Samoa, 65230358
BARBARA, N10 (Silver, 4TB), 0, Dominican Republic, 3910611679
RY, W20 (Black, 4TB), -1, Switzerland, 2631
BETTY, X100L (Black, 2TB), 3, United Kingdom, 63091382
SUSAN, W20 (Silver, 12TB), 3, Russia, 79266334
JESSICA, N100H (Silver, 2TB), -1, Libya, 3305371564
SANDRA, W20 (Black, 6TB), -3, Egypt, 1856327245
ANGELA, FLOW (Black, 4TB), 1, Mali, 1935113344
NANCY, Cast-Fi 7 (Silver, 12TB), -3, Pakistan, 74048177
SARAH, A10 (Silver, 12TB), 1, Papua New Guinea, 78669547
RUTH, A10 (Black, 6TB), 2, Serbia, 2527223
PATRICIA, Cast-Fi 7 (Black, 6TB), -1, Denmark, 2026889313
MARIA, X100L (Black, 4TB), 0, Panama, 73128662
SUSAN, N10 (Silver, 8TB), -2, Spain, 79266334
MARIA, FLOW (Black, 4TB), 1, Uruguay, 73128662
SHARON, N100H (Black, 12TB), -1, Equatorial Guinea, 1850236507
MELISSA, Cast-Fi 7 (Silver, 2TB), 4, Vietnam, 1666162860
SARAH, N10 (Silver, 12TB), -2, Turks &amp; Caicos, 78669547
ELIZABETH, N100H (Silver, 4TB), 2, Belarus, 2143727456
SARAH, FLOW (Black, 2TB), 4, Turkmenistan, 78669547
KAREN, X100L (Silver, 4TB), -3, Rwanda, 71281509
HELEN, X100L (Silver, 6TB), 0, Uruguay, 68624344
MICHELLE, Cast-Fi 7 (Black, 8TB), -2, Indonesia, 892520735
CYNTHIA, X100L (Silver, 2TB), -3, Benin, 2339159772
SHIRLEY, N10 (Silver, 6TB), 1, Maldives, 2779595522
HELEN, W20 (Silver, 4TB), 2, Uzbekistan, 68624344
RY, FLOW (Black, 12TB), 3, Afghanistan, 2631
KAREN, FLOW (Black, 2TB), 2, Romania, 71281509
DOROTHY, FLOW (Silver, 6TB), -2, Gambia, 1734390947
BARBARA, W20 (Silver, 4TB), 0, Montserrat, 3910611679
BETTY, W20 (Silver, 12TB), 4, Mongolia, 63091382
MELISSA, N100H (Black, 8TB), -3, Russia, 1666162860
MELISSA, FLOW (Silver, 8TB), 3, Indonesia, 1666162860
AMY, FLOW (Black, 2TB), -3, Japan, 64941
NANCY, W20 (Black, 12TB), 4, Cambodia, 74048177
DONNA, N10 (Black, 8TB), -2, French West Indies, 65230358
RY, N10 (Silver, 2TB), 0, Sri Lanka, 2631
NANCY, A10 (Black, 8TB), 0, Peru, 74048177
MARIA, FLOW (Silver, 4TB), -1, Russia, 73128662
KAREN, N10 (Black, 2TB), -3, French West Indies, 71281509
MICHELLE, N10 (Black, 6TB), 3, Brazil, 892520735
SARAH, W20 (Black, 4TB), 1, Lebanon, 78669547
KIMBERLY, A10 (Black, 12TB), 0, French West Indies, 197582061
DEBORAH, X100L (Black, 6TB), -3, Afghanistan, 2035460949
PATRICIA, FLOW (Silver, 8TB), -2, Rwanda, 2026889313
BETTY, W20 (Silver, 2TB), -3, Andorra, 63091382
SANDRA, Cast-Fi 7 (Black, 4TB), 1, Kenya, 1856327245
JESSICA, W20 (Black, 6TB), 4, Cook Islands, 3305371564
JENNIFER, FLOW (Silver, 6TB), 3, Sri Lanka, 5055424187
ELIZABETH, W20 (Silver, 8TB), -2, Jordan, 2143727456
LISA, N10 (Black, 4TB), -1, Poland, 2336907
PATRICIA, N100H (Black, 2TB), -1, Jersey, 2026889313
AMY, X100L (Silver, 6TB), 0, Malaysia, 64941
RY, N10 (Silver, 8TB), 4, Mauritania, 2631
SARAH, Cast-Fi 7 (Black, 2TB), 0, Mexico, 78669547
NANCY, X100L (Black, 12TB), -2, Haiti, 74048177
BRENDA, X100L (Black, 2TB), -1, United Arab Emirates, 1967385398
MELISSA, W20 (Silver, 2TB), -1, Andorra, 1666162860
NANCY, Cast-Fi 7 (Black, 8TB), -1, Singapore, 74048177
MELISSA, N10 (Silver, 2TB), -3, Guernsey, 1666162860
PATRICIA, Cast-Fi 7 (Silver, 4TB), 2, Andorra, 2026889313
MARGARET, X100L (Silver, 6TB), 0, Greenland, 3269182743
MELISSA, N10 (Black, 6TB), 4, Yemen, 1666162860
ANGELA, N100H (Black, 8TB), -2, Bahamas, 1935113344
SANDRA, FLOW (Black, 6TB), 1, St Lucia, 1856327245
SANDRA, A10 (Silver, 6TB), 4, Sweden, 1856327245
LISA, FLOW (Silver, 8TB), 2, Brunei, 2336907
ANGELA, Cast-Fi 7 (Silver, 4TB), 0, Cote D Ivoire, 1935113344
MARGARET, A10 (Silver, 6TB), 3, Guam, 3269182743
LAURA, X100L (Black, 4TB), 1, Bangladesh, 72208303
LISA, X100L (Silver, 12TB), 0, Togo, 2336907
BARBARA, A10 (Silver, 6TB), 3, Belarus, 3910611679
AMY, A10 (Black, 6TB), -2, Equatorial Guinea, 64941
SARAH, N100H (Black, 4TB), -1, Oman, 78669547
CYNTHIA, N100H (Black, 4TB), 1, Hungary, 2339159772
RY, FLOW (Silver, 8TB), 2, Syria, 2631
SUSAN, A10 (Black, 12TB), -3, Maldives, 79266334
DONNA, X100L (Silver, 12TB), 4, Guinea, 65230358
MICHELLE, X100L (Silver, 4TB), -2, Namibia, 892520735
SHIRLEY, N100H (Black, 6TB), -2, Cuba, 2779595522
CAROL, N100H (Silver, 2TB), -1, Mozambique, 63893649
SUSAN, Cast-Fi 7 (Black, 4TB), -2, Anguilla, 79266334
BRENDA, A10 (Silver, 8TB), 2, New Zealand, 1967385398
MARGARET, N100H (Black, 2TB), -3, Tunisia, 3269182743
SARAH, FLOW (Silver, 6TB), -3, Slovenia, 78669547
LAURA, A10 (Silver, 12TB), 2, Congo, 72208303
JESSICA, Cast-Fi 7 (Black, 6TB), 0, India, 3305371564
BETTY, X100L (Black, 2TB), 3, United Arab Emirates, 63091382
KIMBERLY, A10 (Black, 4TB), -2, Montenegro, 197582061
MELISSA, Cast-Fi 7 (Silver, 2TB), 1, Panama, 1666162860
HELEN, N10 (Silver, 6TB), 2, St Kitts &amp; Nevis, 68624344
KAREN, X100L (Black, 2TB), -1, Romania, 71281509
JENNIFER, Cast-Fi 7 (Silver, 2TB), 1, Mauritania, 5055424187
KIMBERLY, Cast-Fi 7 (Silver, 12TB), 0, Montserrat, 197582061
HELEN, A10 (Silver, 4TB), -3, Uruguay, 68624344
SUSAN, FLOW (Silver, 4TB), 2, Cote D Ivoire, 79266334
BRENDA, W20 (Black, 2TB), 4, Romania, 1967385398
DOROTHY, X100L (Black, 6TB), 4, Palestine, 1734390947
PATRICIA, A10 (Black, 4TB), -1, Andorra, 2026889313
LINDA, W20 (Silver, 6TB), 1, Spain, 72439470
SARAH, FLOW (Black, 4TB), -2, Guatemala, 78669547
RY, N10 (Black, 2TB), -2, Netherlands, 2631
BARBARA, W20 (Black, 2TB), -1, Uruguay, 3910611679
BETTY, FLOW (Silver, 2TB), 2, Slovenia, 63091382
MICHELLE, W20 (Silver, 12TB), -3, Armenia, 892520735
ELIZABETH, N10 (Black, 2TB), 1, Niger, 2143727456
SANDRA, W20 (Black, 2TB), 2, Namibia, 1856327245
PATRICIA, Cast-Fi 7 (Black, 12TB), 0, Bahrain, 2026889313
AMY, X100L (Black, 12TB), 0, Seychelles, 64941
ELIZABETH, FLOW (Black, 2TB), 1, Costa Rica, 2143727456
BETTY, A10 (Black, 12TB), 0, Switzerland, 63091382
MARGARET, N10 (Silver, 8TB), 4, Georgia, 3269182743
KIMBERLY, A10 (Black, 6TB), 4, Dominican Republic, 197582061
PATRICIA, N10 (Black, 6TB), 0, Libya, 2026889313
DEBORAH, X100L (Black, 4TB), -2, Cote D Ivoire, 2035460949
DONNA, N100H (Black, 6TB), -1, Morocco, 65230358
SUSAN, W20 (Silver, 2TB), 4, Bermuda, 79266334
KIMBERLY, N10 (Silver, 4TB), 2, Norway, 197582061
BARBARA, Cast-Fi 7 (Silver, 8TB), 4, Mauritius, 3910611679
JESSICA, N100H (Silver, 4TB), 4, Croatia, 3305371564
ANGELA, W20 (Silver, 2TB), 2, Zambia, 1935113344
BARBARA, Cast-Fi 7 (Black, 8TB), 2, Belgium, 3910611679
SHARON, A10 (Black, 4TB), 4, Jordan, 1850236507
DONNA, N100H (Black, 2TB), 4, Gambia, 65230358
RUTH, N100H (Silver, 2TB), 1, Japan, 2527223
RUTH, Cast-Fi 7 (Black, 2TB), 2, Samoa, 2527223
DEBORAH, Cast-Fi 7 (Black, 4TB), 4, Pakistan, 2035460949
HELEN, A10 (Black, 12TB), 1, Andorra, 68624344
BARBARA, A10 (Silver, 4TB), 0, Guam, 3910611679
ELIZABETH, Cast-Fi 7 (Black, 2TB), 4, Iceland, 2143727456
AMY, W20 (Silver, 12TB), -2, Timor L'Este, 64941
MARGARET, N10 (Black, 12TB), 4, Virgin Islands (US), 3269182743
BARBARA, N10 (Black, 6TB), 4, Antigua &amp; Barbuda, 3910611679
DOROTHY, N100H (Black, 8TB), -2, Cambodia, 1734390947
RY, FLOW (Black, 8TB), 4, Cook Islands, 2631
KIMBERLY, N100H (Black, 4TB), 0, Ukraine, 197582061
BARBARA, N100H (Black, 8TB), 2, Montenegro, 3910611679
SARAH, X100L (Black, 8TB), -3, Suriname, 78669547
PATRICIA, FLOW (Silver, 12TB), -3, Serbia, 2026889313
BARBARA, FLOW (Silver, 12TB), 0, Barbados, 3910611679
SANDRA, N100H (Silver, 12TB), 1, Russia, 1856327245
CAROL, X100L (Black, 6TB), -2, Ukraine, 63893649
JESSICA, N100H (Black, 8TB), 4, Jordan, 3305371564
ANGELA, N10 (Silver, 12TB), 3, Falkland Islands, 1935113344
DOROTHY, W20 (Black, 8TB), 1, San Marino, 1734390947
DOROTHY, FLOW (Silver, 8TB), -2, Portugal, 1734390947
BARBARA, N10 (Black, 2TB), -3, Uzbekistan, 3910611679
JENNIFER, X100L (Black, 12TB), 0, Turkey, 5055424187
RUTH, W20 (Black, 8TB), -2, Bhutan, 2527223
SARAH, Cast-Fi 7 (Silver, 4TB), -1, Yemen, 78669547
JENNIFER, Cast-Fi 7 (Black, 6TB), -3, British Virgin Islands, 5055424187
KAREN, FLOW (Silver, 2TB), 3, St Vincent, 71281509
SARAH, FLOW (Silver, 8TB), -2, Satellite, 78669547
LAURA, A10 (Black, 8TB), 1, Estonia, 72208303
LAURA, A10 (Silver, 4TB), 2, Montenegro, 72208303
MICHELLE, X100L (Silver, 6TB), -3, Bahrain, 892520735
SARAH, FLOW (Black, 4TB), 0, Libya, 78669547
LINDA, Cast-Fi 7 (Silver, 4TB), -1, Cuba, 72439470
PATRICIA, N100H (Black, 6TB), -1, Turkey, 2026889313
JESSICA, N10 (Black, 12TB), 3, Vietnam, 3305371564
DOROTHY, X100L (Black, 6TB), 0, Iceland, 1734390947
RY, Cast-Fi 7 (Silver, 4TB), -2, Guinea Bissau, 2631
MELISSA, W20 (Silver, 4TB), 0, New Zealand, 1666162860
SHARON, W20 (Silver, 6TB), -1, Guinea Bissau, 1850236507
ANGELA, FLOW (Silver, 6TB), -1, Ecuador, 1935113344
LINDA, N10 (Silver, 2TB), 1, Luxembourg, 72439470
KIMBERLY, FLOW (Black, 4TB), -1, Sweden, 197582061
AMY, A10 (Black, 2TB), 3, Namibia, 64941
MARIA, A10 (Silver, 6TB), 2, Nicaragua, 73128662
KIMBERLY, X100L (Silver, 4TB), -1, Venezuela, 197582061
JESSICA, X100L (Black, 4TB), 3, Mozambique, 3305371564
LAURA, W20 (Silver, 12TB), 4, Saudi Arabia, 72208303
RY, X100L (Black, 12TB), 0, Mauritius, 2631
AMY, N100H (Black, 12TB), 0, Singapore, 64941
HELEN, Cast-Fi 7 (Black, 8TB), -1, Mali, 68624344
LAURA, N100H (Black, 12TB), -1, Spain, 72208303
KIMBERLY, N10 (Silver, 2TB), -1, Brunei, 197582061
CYNTHIA, W20 (Silver, 4TB), -2, Belize, 2339159772
NANCY, X100L (Black, 4TB), 4, Sri Lanka, 74048177
MICHELLE, N10 (Silver, 2TB), 3, Nigeria, 892520735
LINDA, Cast-Fi 7 (Black, 6TB), 1, Pakistan, 72439470
LINDA, FLOW (Black, 2TB), 0, Japan, 72439470
BETTY, A10 (Silver, 8TB), -3, Monaco, 63091382
PATRICIA, A10 (Silver, 12TB), 4, Bahamas, 2026889313
NANCY, FLOW (Black, 6TB), 1, Gambia, 74048177
KAREN, N10 (Black, 12TB), 1, Colombia, 71281509
BARBARA, Cast-Fi 7 (Black, 6TB), -1, Guatemala, 3910611679
LISA, Cast-Fi 7 (Black, 2TB), 3, St Kitts &amp; Nevis, 2336907
PATRICIA, Cast-Fi 7 (Black, 4TB), 2, Antigua &amp; Barbuda, 2026889313
MICHELLE, Cast-Fi 7 (Black, 4TB), -3, Namibia, 892520735
MICHELLE, FLOW (Silver, 4TB), 0, Bosnia &amp; Herzegovina, 892520735
RUTH, W20 (Silver, 6TB), 1, Serbia, 2527223
MARIA, Cast-Fi 7 (Black, 4TB), -2, Sierra Leone, 73128662
KIMBERLY, W20 (Black, 6TB), -3, Philippines, 197582061
LAURA, N100H (Silver, 2TB), 2, Bahrain, 72208303
KAREN, N100H (Silver, 6TB), 0, St Vincent, 71281509
LAURA, FLOW (Silver, 6TB), 4, Uruguay, 72208303
PATRICIA, W20 (Black, 12TB), 4, Gibraltar, 2026889313
BETTY, X100L (Black, 4TB), 2, Barbados, 63091382
MICHELLE, N100H (Silver, 6TB), 4, Cambodia, 892520735
LISA, FLOW (Silver, 6TB), 3, Brunei, 2336907
LISA, W20 (Black, 8TB), 2, France, 2336907
DEBORAH, X100L (Black, 4TB), 2, Mongolia, 2035460949
RY, N100H (Silver, 6TB), -3, Japan, 2631
BRENDA, N10 (Black, 8TB), 1, New Caledonia, 1967385398
KAREN, A10 (Silver, 2TB), 3, Mozambique, 71281509
AMY, A10 (Black, 4TB), -3, Saint Pierre &amp; Miquelon, 64941
CYNTHIA, N10 (Silver, 4TB), 3, Benin, 2339159772
BRENDA, A10 (Black, 6TB), -3, Monaco, 1967385398
ELIZABETH, X100L (Black, 2TB), 0, Madagascar, 2143727456
LINDA, N100H (Silver, 4TB), 0, Uzbekistan, 72439470
SHIRLEY, X100L (Black, 12TB), -1, St. Lucia, 2779595522
RUTH, Cast-Fi 7 (Silver, 8TB), 0, Czech Republic, 2527223
AMY, N10 (Silver, 6TB), -3, Tanzania, 64941
AMY, FLOW (Silver, 2TB), 4, Italy, 64941
SANDRA, X100L (Black, 2TB), -2, Laos, 1856327245
DONNA, N100H (Black, 2TB), -3, Senegal, 65230358
CYNTHIA, N10 (Silver, 4TB), 2, Niger, 2339159772
MICHELLE, FLOW (Black, 4TB), -2, Iraq, 892520735
ANGELA, FLOW (Silver, 8TB), 3, Pakistan, 1935113344
LISA, N100H (Black, 12TB), 0, India, 2336907
BARBARA, X100L (Silver, 4TB), 0, Argentina, 3910611679
AMY, X100L (Silver, 8TB), 1, Bangladesh, 64941
DEBORAH, W20 (Silver, 4TB), -3, Guinea Bissau, 2035460949
SANDRA, X100L (Black, 12TB), 4, Palestine, 1856327245
SUSAN, X100L (Silver, 2TB), 1, Papua New Guinea, 79266334
MELISSA, Cast-Fi 7 (Black, 6TB), 1, Cambodia, 1666162860
CAROL, X100L (Black, 8TB), 2, Congo, 63893649
DONNA, W20 (Silver, 4TB), -3, Kuwait, 65230358
PATRICIA, FLOW (Black, 8TB), 4, Bahamas, 2026889313
MELISSA, A10 (Silver, 6TB), -2, Uganda, 1666162860
JENNIFER, N100H (Silver, 4TB), -2, British Virgin Islands, 5055424187
DOROTHY, W20 (Silver, 12TB), -1, Cote D Ivoire, 1734390947
DOROTHY, N100H (Black, 8TB), -2, French West Indies, 1734390947
RY, W20 (Silver, 8TB), 4, Romania, 2631
SHIRLEY, N100H (Black, 4TB), 1, Papua New Guinea, 2779595522
DONNA, FLOW (Silver, 8TB), -3, Luxembourg, 65230358
SUSAN, A10 (Silver, 8TB), -3, Turks &amp; Caicos, 79266334
JENNIFER, Cast-Fi 7 (Silver, 8TB), -2, Algeria, 5055424187
DEBORAH, N100H (Black, 12TB), -2, Colombia, 2035460949
SHIRLEY, Cast-Fi 7 (Black, 12TB), -3, Gabon, 2779595522
BRENDA, Cast-Fi 7 (Silver, 12TB), 4, India, 1967385398
ANGELA, N100H (Silver, 4TB), 3, Cyprus, 1935113344
SHIRLEY, X100L (Silver, 2TB), -3, Monaco, 2779595522
NANCY, N10 (Black, 8TB), -3, Congo, 74048177
RUTH, A10 (Black, 4TB), 2, Tajikistan, 2527223
DOROTHY, Cast-Fi 7 (Black, 2TB), -3, Australia, 1734390947
DEBORAH, N10 (Black, 2TB), 0, Italy, 2035460949
RY, W20 (Silver, 6TB), 0, Nepal, 2631
KAREN, FLOW (Black, 4TB), 1, Switzerland, 71281509
MELISSA, A10 (Silver, 2TB), -1, Belarus, 1666162860
AMY, W20 (Silver, 8TB), -1, South Korea, 64941
PATRICIA, FLOW (Silver, 8TB), -2, Costa Rica, 2026889313
MELISSA, N100H (Black, 2TB), 4, Slovenia, 1666162860
CYNTHIA, W20 (Silver, 8TB), 3, El Salvador, 2339159772
SANDRA, N100H (Silver, 4TB), -3, United Arab Emirates, 1856327245
DONNA, N100H (Silver, 12TB), -3, Greece, 65230358
DEBORAH, X100L (Silver, 8TB), -1, Burkina Faso, 2035460949
AMY, N100H (Black, 6TB), 3, Croatia, 64941
DONNA, FLOW (Silver, 8TB), 4, Lesotho, 65230358
SHIRLEY, Cast-Fi 7 (Black, 4TB), -2, Falkland Islands, 2779595522
ANGELA, A10 (Silver, 6TB), 0, Montserrat, 1935113344
CYNTHIA, X100L (Silver, 8TB), -3, Iceland, 2339159772
MARIA, W20 (Silver, 8TB), -2, Greenland, 73128662
KAREN, X100L (Silver, 2TB), -3, Zimbabwe, 71281509
SANDRA, Cast-Fi 7 (Black, 12TB), 2, Argentina, 1856327245
BARBARA, N10 (Black, 6TB), -3, Burkina Faso, 3910611679
ANGELA, N10 (Silver, 2TB), -3, Afghanistan, 1935113344
BARBARA, N10 (Silver, 6TB), 3, Guinea, 3910611679
ANGELA, Cast-Fi 7 (Black, 8TB), 4, Greece, 1935113344
KAREN, A10 (Silver, 12TB), 2, Satellite, 71281509
SHIRLEY, N100H (Silver, 4TB), 2, Cambodia, 2779595522
DONNA, N10 (Silver, 2TB), 1, Guatemala, 65230358
ELIZABETH, A10 (Silver, 8TB), 1, Liechtenstein, 2143727456
DONNA, Cast-Fi 7 (Black, 4TB), -2, Grenada, 65230358
BETTY, X100L (Black, 2TB), 4, Romania, 63091382
RY, Cast-Fi 7 (Silver, 6TB), -2, St Lucia, 2631
JESSICA, FLOW (Silver, 12TB), 1, Reunion, 3305371564
JESSICA, X100L (Silver, 2TB), 1, Montenegro, 3305371564
LISA, X100L (Silver, 6TB), -3, Dominican Republic, 2336907
AMY, X100L (Black, 8TB), 3, Isle of Man, 64941
CAROL, Cast-Fi 7 (Silver, 8TB), 1, Bangladesh, 63893649
SANDRA, A10 (Black, 4TB), -1, Iceland, 1856327245
DEBORAH, FLOW (Black, 4TB), -2, Ecuador, 2035460949
SHARON, Cast-Fi 7 (Silver, 6TB), 3, St Kitts &amp; Nevis, 1850236507
JENNIFER, W20 (Silver, 8TB), 3, Azerbaijan, 5055424187
RUTH, X100L (Black, 8TB), -1, Peru, 2527223
NANCY, W20 (Silver, 6TB), 3, Jersey, 74048177
HELEN, FLOW (Black, 2TB), 3, Djibouti, 68624344
SUSAN, W20 (Black, 8TB), 4, Ghana, 79266334
SUSAN, Cast-Fi 7 (Black, 2TB), -1, Antigua &amp; Barbuda, 79266334
SANDRA, A10 (Silver, 2TB), 4, Kenya, 1856327245
HELEN, FLOW (Silver, 6TB), 1, Ireland, 68624344
KIMBERLY, N10 (Black, 12TB), -1, Guinea Bissau, 197582061
MARIA, N100H (Silver, 2TB), 4, Ukraine, 73128662
HELEN, N10 (Silver, 12TB), 1, New Caledonia, 68624344
BRENDA, FLOW (Black, 12TB), -3, Lithuania, 1967385398
KAREN, X100L (Silver, 8TB), -3, Pakistan, 71281509
JESSICA, N100H (Silver, 12TB), 3, Georgia, 3305371564
KAREN, Cast-Fi 7 (Silver, 6TB), -1, Malaysia, 71281509
SUSAN, N10 (Silver, 6TB), -2, Tajikistan, 79266334
SANDRA, N100H (Black, 12TB), 3, Liechtenstein, 1856327245
SHIRLEY, N100H (Silver, 6TB), 1, Iraq, 2779595522
BARBARA, A10 (Silver, 8TB), -3, Nepal, 3910611679
CAROL, FLOW (Silver, 8TB), -3, St. Lucia, 63893649
MARIA, Cast-Fi 7 (Silver, 12TB), 3, Liechtenstein, 73128662
ELIZABETH, Cast-Fi 7 (Silver, 12TB), 1, Cyprus, 2143727456
MELISSA, N100H (Black, 8TB), -1, Cuba, 1666162860
SUSAN, X100L (Black, 12TB), 1, Hungary, 79266334
ELIZABETH, Cast-Fi 7 (Black, 8TB), 0, Ecuador, 2143727456
KAREN, X100L (Silver, 2TB), 3, Maldives, 71281509
BRENDA, A10 (Silver, 4TB), 0, Denmark, 1967385398
JENNIFER, Cast-Fi 7 (Silver, 2TB), 2, Laos, 5055424187
BRENDA, X100L (Black, 12TB), 4, Nepal, 1967385398
DEBORAH, X100L (Silver, 6TB), -2, Argentina, 2035460949
MARIA, N100H (Black, 12TB), 4, Bangladesh, 73128662
SARAH, A10 (Silver, 8TB), -1, Montserrat, 78669547
JESSICA, A10 (Silver, 2TB), 1, Egypt, 3305371564
KAREN, W20 (Black, 2TB), -2, Zimbabwe, 71281509
JENNIFER, A10 (Black, 2TB), -1, Argentina, 5055424187
SANDRA, X100L (Black, 12TB), 1, Belize, 1856327245
DEBORAH, N10 (Black, 12TB), 1, New Caledonia, 2035460949
MARGARET, N100H (Silver, 6TB), 1, Tanzania, 3269182743
MELISSA, W20 (Silver, 12TB), -2, Yemen, 1666162860
ELIZABETH, N10 (Black, 12TB), -1, Malta, 2143727456
DONNA, FLOW (Silver, 2TB), 2, Faroe Islands, 65230358
JENNIFER, FLOW (Black, 12TB), 3, Guatemala, 5055424187
MARGARET, X100L (Black, 4TB), -1, Mozambique, 3269182743
LISA, X100L (Black, 2TB), 1, Suriname, 2336907
HELEN, N100H (Black, 2TB), -1, Colombia, 68624344
CYNTHIA, N100H (Silver, 4TB), 2, Djibouti, 2339159772
RUTH, N10 (Black, 12TB), 1, Cape Verde, 2527223
BETTY, X100L (Silver, 4TB), -1, Norway, 63091382
DONNA, Cast-Fi 7 (Black, 12TB), -1, Hungary, 65230358
MARIA, FLOW (Silver, 4TB), 4, San Marino, 73128662
JENNIFER, Cast-Fi 7 (Silver, 6TB), -2, Albania, 5055424187
CAROL, N100H (Black, 12TB), -2, Thailand, 63893649
MARIA, N10 (Silver, 6TB), 3, Burkina Faso, 73128662
SUSAN, N10 (Silver, 12TB), 3, Virgin Islands (US), 79266334
CAROL, A10 (Black, 4TB), 3, Belarus, 63893649
SARAH, N100H (Silver, 6TB), -1, Poland, 78669547
SHIRLEY, W20 (Black, 8TB), 3, Cayman Islands, 2779595522
PATRICIA, X100L (Silver, 8TB), -3, St Vincent, 2026889313
MELISSA, N100H (Silver, 4TB), 0, Malawi, 1666162860
KAREN, FLOW (Silver, 2TB), -2, Djibouti, 71281509
LISA, Cast-Fi 7 (Silver, 6TB), 3, Spain, 2336907
MARIA, A10 (Silver, 8TB), 2, Monaco, 73128662
BRENDA, N10 (Silver, 12TB), 0, Switzerland, 1967385398
CAROL, W20 (Silver, 2TB), -1, Gambia, 63893649
PATRICIA, A10 (Black, 8TB), 1, Trinidad &amp; Tobago, 2026889313
LINDA, X100L (Black, 2TB), 0, Liberia, 72439470
BETTY, W20 (Black, 2TB), -2, Australia, 63091382
HELEN, N10 (Silver, 2TB), 3, Suriname, 68624344
KAREN, X100L (Silver, 6TB), 4, Faroe Islands, 71281509
SHARON, N100H (Silver, 12TB), -1, Oman, 1850236507
BARBARA, FLOW (Silver, 4TB), 0, Yemen, 3910611679
MARIA, Cast-Fi 7 (Black, 8TB), 4, Isle of Man, 73128662
CAROL, W20 (Silver, 2TB), 4, Satellite, 63893649
